,smiles,per_inh
162,Cc1ccc(Cn2nc(Cl)c(N3CCNCC3)cc2=O)cc1NC(=O)Nc1ccc(-c2ccccc2)cc1.O=C(O)C(F)(F)F,1.0
163,CCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)c(OCCN3CCCCC3)c2)cc1,1.0
164,O=C(O)CCSSc1cccc[n+]1[O-],1.0
165,Nc1nc(N)c2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,1.0
166,CCCN(CCC)CCCOc1ccc(C(=O)c2c(-c3ccc(OCCCN(CCC)CCC)cc3)oc3ccc(Cl)cc23)cc1.Cl,1.0
167,Nc1cc(C=Cc2ccc([N+](=O)[O-])o2)nc2ccccc12,1.0
168,COc1ccc(C[C@@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,0.99
169,CC(C)c1ccc2oc(-c3ccc(NC(=O)c4ccc([N+](=O)[O-])o4)cc3)nc2c1,0.99
170,CCCCCCCn1c(=N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,0.99
171,CCCCCOc1ccc(C(O)C(CCC(CN2CCCCCC2)C(O)c2ccc(OCCCCC)cc2)CN2CCCCCC2)cc1.Cl,0.99
172,Cl.ON=C1c2cc(OCCN3CCCCC3)c(Cl)cc2-c2cc(Cl)c(OCCN3CCCCC3)cc21,0.99
173,CCN(CC)CCOc1cc2c(cc1Br)-c1cc(Br)c(OCCN(CC)CC)cc1C2=NO.Cl,0.99
174,Cl.c1ccc2c(NCCCCCCCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,0.99
175,Cc1cc(C)c2nc(N3CCC(C(=O)NCCCN4CCC(N5CCCCC5)CC4)CC3)sc2c1,0.99
176,Cc1nn(-c2ccccc2)c2sc(C(=O)N(CCCN(C)C)c3nc(-c4ccccc4)cs3)cc12.Cl,0.99
177,CNCCCCCCOc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1.Cl,0.99
178,C[C@H](Cc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1)NC[C@H](O)COc1ccccc1.Cl,0.99
179,C[C@H](Cc1ccc(OCCCCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
